Start training epoch:0 @Thu Jan  2 23:35:35 2020
Epoch: [0][610/794], lr: 0.00200	Time 3.246 (3.404)	Data 2.909 (1.452)	Loss 1.9471 (3.4311)	Prec@1 50.000 (23.500)	Prec@5 91.667 (44.926)
Epoch: [0][620/794], lr: 0.00200	Time 3.256 (3.402)	Data 2.919 (1.452)	Loss 2.7020 (3.4134)	Prec@1 25.000 (23.739)	Prec@5 75.000 (45.357)
Epoch: [0][630/794], lr: 0.00200	Time 3.242 (3.399)	Data 2.911 (1.452)	Loss 2.1540 (3.3920)	Prec@1 33.333 (24.049)	Prec@5 91.667 (45.893)
Epoch: [0][640/794], lr: 0.00200	Time 3.246 (3.397)	Data 2.914 (1.452)	Loss 1.9822 (3.3702)	Prec@1 41.667 (24.402)	Prec@5 83.333 (46.412)
Epoch: [0][650/794], lr: 0.00200	Time 3.306 (3.396)	Data 2.960 (1.452)	Loss 2.0183 (3.3468)	Prec@1 50.000 (24.859)	Prec@5 66.667 (46.889)
Epoch: [0][660/794], lr: 0.00200	Time 3.281 (3.394)	Data 2.942 (1.452)	Loss 1.9462 (3.3266)	Prec@1 58.333 (25.252)	Prec@5 75.000 (47.352)
Epoch: [0][670/794], lr: 0.00200	Time 3.291 (3.392)	Data 2.954 (1.453)	Loss 1.4482 (3.3048)	Prec@1 41.667 (25.683)	Prec@5 91.667 (47.814)
Epoch: [0][680/794], lr: 0.00200	Time 3.286 (3.391)	Data 2.943 (1.453)	Loss 1.9422 (3.2858)	Prec@1 41.667 (26.040)	Prec@5 75.000 (48.177)
Epoch: [0][690/794], lr: 0.00200	Time 3.295 (3.389)	Data 2.948 (1.453)	Loss 2.3129 (3.2671)	Prec@1 58.333 (26.363)	Prec@5 83.333 (48.589)
Epoch: [0][700/794], lr: 0.00200	Time 3.278 (3.388)	Data 2.934 (1.453)	Loss 3.2934 (3.2489)	Prec@1 33.333 (26.700)	Prec@5 50.000 (48.990)
Epoch: [0][710/794], lr: 0.00200	Time 3.258 (3.386)	Data 2.923 (1.454)	Loss 1.6527 (3.2322)	Prec@1 58.333 (26.934)	Prec@5 83.333 (49.437)
Epoch: [0][720/794], lr: 0.00200	Time 3.254 (3.384)	Data 2.920 (1.454)	Loss 1.1079 (3.2159)	Prec@1 75.000 (27.196)	Prec@5 91.667 (49.827)
Epoch: [0][730/794], lr: 0.00200	Time 3.260 (3.383)	Data 2.921 (1.454)	Loss 1.9675 (3.1978)	Prec@1 33.333 (27.542)	Prec@5 83.333 (50.194)
